Round Number,Date,Location,Home Team,Away Team,Result
1,10/09/2017 13:25,Levi's Stadium,San Francisco 49ers,Carolina Panthers,3 - 23
2,17/09/2017 13:25,CenturyLink Field,Seattle Seahawks,San Francisco 49ers,12 - 9
3,21/09/2017 17:25,Levi's Stadium,San Francisco 49ers,Los Angeles Rams,39 - 41
4,01/10/2017 13:05,U of Phoenix Stadium,Arizona Cardinals,San Francisco 49ers,18 - 15
5,08/10/2017 10:00,Lucas Oil Stadium,Indianapolis Colts,San Francisco 49ers,26 - 23
6,15/10/2017 10:00,FedEx Field,Washington Redskins,San Francisco 49ers,26 - 24
7,22/10/2017 13:05,Levi's Stadium,San Francisco 49ers,Dallas Cowboys,10 - 40
8,29/10/2017 10:00,Lincoln Financial Field,Philadelphia Eagles,San Francisco 49ers,33 - 10
9,05/11/2017 13:05,Levi's Stadium,San Francisco 49ers,Arizona Cardinals,10 - 20
10,12/11/2017 13:25,Levi's Stadium,San Francisco 49ers,New York Giants,31 - 21
12,26/11/2017 13:05,Levi's Stadium,San Francisco 49ers,Seattle Seahawks,13 - 24
13,03/12/2017 10:00,Soldier Field,Chicago Bears,San Francisco 49ers,14 - 15
14,10/12/2017 10:00,NRG Stadium,Houston Texans,San Francisco 49ers,16 - 26
15,17/12/2017 13:25,Levi's Stadium,San Francisco 49ers,Tennessee Titans,25 - 23
16,24/12/2017 13:05,Levi's Stadium,San Francisco 49ers,Jacksonville Jaguars,44 - 33
17,31/12/2017 13:25,Los Angeles Memorial Coliseum,Los Angeles Rams,San Francisco 49ers,13 - 34
