Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Spread,vs. Line,Over/Under,OU Result,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate
,,,,,,,,,,,,,,,,,,,,,,,,,
1,SFO,2013,9/8/13,4:26,1:26,,GNB,1,1,Sun,W 34-28,,-5,covered,48,over,27,39,69.2,404,3,0,2,8,128.6
2,SFO,2018,11/1/18,8:20,5:20,,OAK,9,9,Thu,W 34-3,,1.5,covered,44,under,16,22,72.7,262,3,0,0,0,151.9
3,SFO,2013,11/25/13,8:40,8:40,@,WAS,12,11,Mon,W 27-6,,-5,covered,45.5,under,15,24,62.5,228,3,0,2,7,133.3
4,SFO,2018,12/30/18,4:25,1:25,@,LAR,17,16,Sun,L 32-48,,10.5,not covered,49.5,over,23,33,69.7,264,3,3,3,18,85.9
5,SFO,2016,11/27/16,1:00,1:00,@,MIA,12,11,Sun,L 24-31,,7.5,covered,44.5,over,29,46,63,282,3,1,2,14,92.8
6,SFO,2014,10/13/14,8:30,7:30,@,STL,6,6,Mon,W 31-17,,-3.5,covered,44.5,over,22,35,62.9,343,3,0,0,0,123.9
7,SFO,2017,12/31/17,4:25,1:25,@,LAR,17,16,Sun,W 34-13,,-6,covered,44.5,over,20,33,60.6,292,2,2,0,0,84.4
8,SFO,2015,12/27/15,1:03,1:03,@,DET,16,15,Sun,L 17-32,,9.5,not covered,42,over,22,33,66.7,201,2,0,3,24,103.2
9,SFO,2014,12/28/14,4:25,1:25,,ARI,17,16,Sun,W 20-17,,-6.5,not covered,37.5,under,15,26,57.7,189,2,0,1,15,106.1
10,SFO,2015,9/20/15,1:02,1:02,@,PIT,2,2,Sun,L 18-43,,6.5,not covered,45.5,over,33,46,71.7,298,2,0,5,37,103.4
11,SFO,2017,11/12/17,4:25,1:25,,NYG,10,10,Sun,W 31-21,,3,covered,41.5,over,19,25,76,288,2,1,0,0,123.4
